complaint_id,hop_number,account_id,bank_ifsc,amount_at_this_hop,hop_timestamp,hop_city,is_final_hop,withdrawal_lat,withdrawal_lon,was_cash_withdrawn
CMP00001,1,ACC717902,TEST0006137,78700,2026-09-02 17:31:40.663215,Mumbai,False,,,
CMP00001,2,ACC249865,DEMO0005859,73400,2026-09-02 17:34:40.663215,Pune,False,,,
CMP00001,3,ACC881505,MOCK0005214,71500,2026-09-02 18:03:40.663215,Mumbai,False,,,
CMP00001,4,ACC205742,MOCK0009743,70000,2026-09-02 18:53:40.663215,Mumbai,False,,,
CMP00001,5,ACC209397,TEST0006561,67700,2026-09-02 20:18:40.663215,Mumbai,False,,,
CMP00001,6,ACC104282,SYNTH0008379,67700,2026-09-02 20:49:40.663215,Mumbai,True,19.093089,72.843551,True
CMP00002,1,ACC891775,FAKE0001828,48200,2026-08-24 02:14:29.663280,Delhi,False,,,
CMP00002,2,ACC230362,FAKE0001321,44600,2026-08-24 03:13:29.663280,Kolkata,False,,,
CMP00002,3,ACC347413,MOCK0002113,42500,2026-08-24 04:38:29.663280,Hyderabad,False,,,
CMP00002,4,ACC702059,SYNTH0002077,42500,2026-08-24 05:52:29.663280,Jaipur,True,26.90149,75.78456,True
CMP00003,1,ACC914504,MOCK0002467,91600,2026-08-08 10:43:09.663301,Mumbai,False,,,
CMP00003,2,ACC483010,TEST0006644,88500,2026-08-08 10:59:09.663301,Patna,False,,,
CMP00003,3,ACC277477,MOCK0008245,88500,2026-08-08 12:17:09.663301,Jaipur,True,26.947384,75.810416,False
CMP00004,1,ACC333886,DEMO0002531,193200,2026-08-14 10:21:34.663315,Mumbai,False,,,
CMP00004,2,ACC958038,FAKE0003953,185000,2026-08-14 11:07:34.663315,Kolkata,False,,,
CMP00004,3,ACC905533,DEMO0006385,177500,2026-08-14 11:22:34.663315,Lucknow,False,,,
CMP00004,4,ACC733727,DEMO0002873,169700,2026-08-14 11:32:34.663315,Ahmedabad,False,,,
CMP00004,5,ACC263306,SYNTH0004497,169700,2026-08-14 12:09:34.663315,Kolkata,True,22.596339,88.326778,False
CMP00005,1,ACC899462,MOCK0008567,42500,2026-08-30 09:14:16.663328,Mumbai,False,,,
CMP00005,2,ACC501974,TEST0005795,42000,2026-08-30 09:36:16.663328,Delhi,False,,,
CMP00005,3,ACC909188,DEMO0008676,42000,2026-08-30 10:33:16.663328,Lucknow,True,26.868758,80.934898,True
CMP00006,1,ACC218327,TEST0003025,42200,2026-08-10 09:54:09.663340,Hyderabad,False,,,
CMP00006,2,ACC242514,TEST0005723,40300,2026-08-10 10:55:09.663340,Hyderabad,False,,,
CMP00006,3,ACC444053,DEMO0005646,40300,2026-08-10 12:08:09.663340,Mumbai,True,19.07976,72.886824,True
CMP00007,1,ACC145240,MOCK0003639,206500,2026-08-07 16:34:10.663352,Delhi,False,,,
CMP00007,2,ACC700067,SYNTH0005231,202300,2026-08-07 16:53:10.663352,Mumbai,False,,,
CMP00007,3,ACC728471,FAKE0005644,186600,2026-08-07 17:18:10.663352,Patna,False,,,
CMP00007,4,ACC735988,DEMO0003794,171800,2026-08-07 17:30:10.663352,Delhi,False,,,
CMP00007,5,ACC933215,SYNTH0009369,163100,2026-08-07 18:00:10.663352,Hyderabad,False,,,
CMP00007,6,ACC818894,DEMO0002127,157600,2026-08-07 18:35:10.663352,Delhi,False,,,
CMP00007,7,ACC238635,SYNTH0009564,157600,2026-08-07 19:06:10.663352,Delhi,True,28.61276,77.215083,True
CMP00008,1,ACC181588,MOCK0003369,99200,2026-08-14 14:00:29.663363,Hyderabad,False,,,
CMP00008,2,ACC114875,DEMO0003416,99200,2026-08-14 14:43:29.663363,Jaipur,True,26.883147,75.74225,True
CMP00009,1,ACC816400,TEST0004517,35400,2026-08-06 07:53:23.663375,Lucknow,False,,,
CMP00009,2,ACC567676,FAKE0005026,32900,2026-08-06 08:18:23.663375,Patna,False,,,
CMP00009,3,ACC532005,DEMO0001999,30500,2026-08-06 09:42:23.663375,Patna,False,,,
CMP00009,4,ACC243902,MOCK0005082,29300,2026-08-06 09:55:23.663375,Patna,False,,,
CMP00009,5,ACC933456,DEMO0006883,29000,2026-08-06 11:17:23.663375,Ahmedabad,False,,,
CMP00009,6,ACC460745,MOCK0006269,26900,2026-08-06 12:20:23.663375,Kolkata,False,,,
CMP00009,7,ACC127329,SYNTH0001480,26900,2026-08-06 13:11:23.663375,Patna,True,25.559617,85.119327,True
CMP00010,1,ACC858068,SYNTH0009735,83400,2026-08-27 04:28:03.663386,Delhi,False,,,
CMP00010,2,ACC710939,TEST0002634,77600,2026-08-27 05:52:03.663386,Ahmedabad,False,,,
CMP00010,3,ACC108363,MOCK0008299,71400,2026-08-27 06:25:03.663386,Delhi,False,,,
CMP00010,4,ACC281757,DEMO0001710,70100,2026-08-27 06:43:03.663386,Delhi,False,,,
CMP00010,5,ACC992994,SYNTH0005703,66900,2026-08-27 07:46:03.663386,Delhi,False,,,
CMP00010,6,ACC488543,MOCK0003161,66900,2026-08-27 09:08:03.663386,Patna,True,25.593461,85.093373,True
CMP00011,1,ACC800901,TEST0007468,34400,2026-08-21 11:14:26.663398,Hyderabad,False,,,
CMP00011,2,ACC340355,DEMO0004915,34000,2026-08-21 11:49:26.663398,Jaipur,False,,,
CMP00011,3,ACC150083,TEST0009769,31400,2026-08-21 12:41:26.663398,Jaipur,False,,,
CMP00011,4,ACC626124,TEST0001838,31400,2026-08-21 13:52:26.663398,Delhi,True,28.587558,77.182305,False
CMP00012,1,ACC142753,SYNTH0005485,36000,2026-08-18 13:54:23.663410,Hyderabad,False,,,
CMP00012,2,ACC357269,DEMO0004538,33400,2026-08-18 13:59:23.663410,Pune,False,,,
CMP00012,3,ACC355517,MOCK0008917,30800,2026-08-18 14:19:23.663410,Hyderabad,False,,,
CMP00012,4,ACC678002,SYNTH0007755,30800,2026-08-18 15:17:23.663410,Hyderabad,True,17.359604,78.488242,False
CMP00013,1,ACC414678,TEST0008947,62900,2026-08-16 11:41:12.663422,Hyderabad,False,,,
CMP00013,2,ACC726882,DEMO0005840,60700,2026-08-16 12:45:12.663422,Patna,False,,,
CMP00013,3,ACC891634,DEMO0008326,56800,2026-08-16 12:59:12.663422,Mumbai,False,,,
CMP00013,4,ACC545503,DEMO0006224,55800,2026-08-16 13:42:12.663422,Mumbai,False,,,
CMP00013,5,ACC830824,SYNTH0008925,53700,2026-08-16 15:08:12.663422,Mumbai,False,,,
CMP00013,6,ACC130369,MOCK0004524,52100,2026-08-16 16:12:12.663422,Pune,False,,,
CMP00013,7,ACC909289,TEST0007737,52100,2026-08-16 17:06:12.663422,Mumbai,True,19.094834,72.887229,True
CMP00014,1,ACC665680,MOCK0009604,14500,2026-08-18 05:09:48.663432,Delhi,False,,,
CMP00014,2,ACC115664,SYNTH0002509,14500,2026-08-18 05:32:48.663432,Jaipur,True,26.949717,75.780522,True
CMP00015,1,ACC939664,TEST0005077,14200,2026-09-01 19:31:38.663443,Pune,False,,,
CMP00015,2,ACC149168,DEMO0001044,13400,2026-09-01 20:50:38.663443,Patna,False,,,
CMP00015,3,ACC716386,FAKE0006103,13000,2026-09-01 20:58:38.663443,Pune,False,,,
CMP00015,4,ACC665786,FAKE0005073,12600,2026-09-01 21:40:38.663443,Mumbai,False,,,
CMP00015,5,ACC256878,MOCK0001395,12600,2026-09-01 22:59:38.663443,Ahmedabad,True,23.014483,72.61628,True
CMP00016,1,ACC701363,TEST0003202,31400,2026-08-28 21:18:04.663454,Kolkata,False,,,
CMP00016,2,ACC227153,DEMO0001692,30600,2026-08-28 22:42:04.663454,Jaipur,False,,,
CMP00016,3,ACC656918,MOCK0002655,30600,2026-08-28 23:57:04.663454,Kolkata,True,22.573162,88.377578,True
CMP00017,1,ACC496119,SYNTH0005107,22500,2026-08-08 02:49:36.663470,Mumbai,False,,,
CMP00017,2,ACC686179,DEMO0004109,21800,2026-08-08 02:56:36.663470,Kolkata,False,,,
CMP00017,3,ACC464552,DEMO0005510,21100,2026-08-08 04:10:36.663470,Mumbai,False,,,
CMP00017,4,ACC268132,SYNTH0008362,20800,2026-08-08 05:28:36.663470,Ahmedabad,False,,,
CMP00017,5,ACC484945,MOCK0007210,19900,2026-08-08 06:07:36.663470,Ahmedabad,False,,,
CMP00017,6,ACC913712,TEST0002037,18800,2026-08-08 06:32:36.663470,Lucknow,False,,,
CMP00017,7,ACC299092,DEMO0003525,18800,2026-08-08 07:58:36.663470,Patna,True,25.588576,85.138272,True
CMP00018,1,ACC290065,TEST0001082,67700,2026-08-17 09:19:55.663481,Lucknow,False,,,
CMP00018,2,ACC920039,SYNTH0005501,65100,2026-08-17 10:13:55.663481,Ahmedabad,False,,,
CMP00018,3,ACC201866,FAKE0006318,63400,2026-08-17 10:49:55.663481,Jaipur,False,,,
CMP00018,4,ACC401813,MOCK0008547,63400,2026-08-17 11:19:55.663481,Ahmedabad,True,23.020433,72.568356,False
CMP00019,1,ACC999038,FAKE0004368,24700,2026-08-31 13:29:47.663492,Bengaluru,False,,,
CMP00019,2,ACC113034,MOCK0005243,24700,2026-08-31 13:56:47.663492,Mumbai,True,19.098172,72.867181,True
CMP00020,1,ACC507759,TEST0007241,15800,2026-08-20 20:34:21.663503,Delhi,False,,,
CMP00020,2,ACC544740,TEST0006705,15500,2026-08-20 20:38:21.663503,Kolkata,False,,,
CMP00020,3,ACC372482,SYNTH0004590,14800,2026-08-20 21:09:21.663503,Hyderabad,False,,,
CMP00020,4,ACC949495,FAKE0007249,14400,2026-08-20 22:25:21.663503,Ahmedabad,False,,,
CMP00020,5,ACC339683,SYNTH0002513,14200,2026-08-20 23:13:21.663503,Hyderabad,False,,,
CMP00020,6,ACC362554,TEST0008423,14000,2026-08-21 00:33:21.663503,Delhi,False,,,
CMP00020,7,ACC557067,SYNTH0004753,14000,2026-08-21 00:54:21.663503,Hyderabad,True,17.400868,78.514442,True
CMP00021,1,ACC113847,DEMO0002913,186500,2026-08-30 00:06:32.663515,Delhi,False,,,
CMP00021,2,ACC823369,FAKE0008645,186500,2026-08-30 00:38:32.663515,Hyderabad,True,17.389743,78.47015,True
CMP00022,1,ACC366640,MOCK0003644,44200,2026-08-12 22:37:22.663526,Bengaluru,False,,,
CMP00022,2,ACC196789,DEMO0007515,41800,2026-08-12 22:40:22.663526,Pune,False,,,
CMP00022,3,ACC643725,DEMO0003716,38700,2026-08-12 23:57:22.663526,Mumbai,False,,,
CMP00022,4,ACC416900,MOCK0007271,38700,2026-08-13 00:53:22.663526,Pune,True,18.551092,73.826459,True
CMP00023,1,ACC980673,DEMO0009029,55800,2026-08-16 23:39:31.663537,Hyderabad,False,,,
CMP00023,2,ACC685005,TEST0003916,51700,2026-08-17 01:09:31.663537,Mumbai,False,,,
CMP00023,3,ACC908184,DEMO0004502,51700,2026-08-17 01:14:31.663537,Kolkata,True,22.615774,88.353909,True
CMP00024,1,ACC912965,FAKE0001497,15500,2026-08-21 22:36:56.663549,Delhi,False,,,
CMP00024,2,ACC894357,MOCK0002328,15500,2026-08-21 22:48:56.663549,Hyderabad,True,17.369706,78.485774,False
CMP00025,1,ACC114210,FAKE0004600,32100,2026-08-26 15:35:35.663560,Bengaluru,False,,,
CMP00025,2,ACC793211,TEST0007542,32100,2026-08-26 16:26:35.663560,Ahmedabad,True,23.023998,72.578334,True
CMP00026,1,ACC597619,SYNTH0007985,58900,2026-08-26 23:17:23.663571,Ahmedabad,False,,,
CMP00026,2,ACC183784,SYNTH0003160,55000,2026-08-27 00:21:23.663571,Pune,False,,,
CMP00026,3,ACC582745,MOCK0009690,50800,2026-08-27 01:19:23.663571,Delhi,False,,,
CMP00026,4,ACC540775,SYNTH0006058,49000,2026-08-27 02:29:23.663571,Ahmedabad,False,,,
CMP00026,5,ACC196149,DEMO0006387,49000,2026-08-27 02:56:23.663571,Hyderabad,True,17.390241,78.474409,True
CMP00027,1,ACC319226,TEST0008550,20200,2026-08-21 19:27:19.663583,Lucknow,False,,,
CMP00027,2,ACC748697,FAKE0004345,19800,2026-08-21 19:36:19.663583,Hyderabad,False,,,
CMP00027,3,ACC975295,SYNTH0002036,18700,2026-08-21 20:24:19.663583,Pune,False,,,
CMP00027,4,ACC279699,MOCK0003868,18000,2026-08-21 20:46:19.663583,Delhi,False,,,
CMP00027,5,ACC213796,SYNTH0004469,17700,2026-08-21 22:15:19.663583,Patna,False,,,
CMP00027,6,ACC213707,SYNTH0005360,17000,2026-08-21 22:26:19.663583,Lucknow,False,,,
CMP00027,7,ACC720424,MOCK0006407,17000,2026-08-21 23:34:19.663583,Ahmedabad,True,23.02558,72.585187,False
CMP00028,1,ACC930045,SYNTH0001819,71300,2026-08-19 03:58:02.663598,Hyderabad,False,,,
CMP00028,2,ACC755833,DEMO0004232,67900,2026-08-19 04:10:02.663598,Hyderabad,False,,,
CMP00028,3,ACC592002,MOCK0002003,65900,2026-08-19 05:15:02.663598,Bengaluru,False,,,
